Facility ID,Facility Name,City,State,ZIP Code,County Name,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Readmission national comparison,Patient experience national comparison,Mortality national comparison
101385,Hospital 1385,City 85,FL,11385,County 35,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Not Available,Above the national average,Same as the national average
101386,Hospital 1386,City 86,IL,11386,County 36,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Below the national average,Not Available,Same as the national average
101387,Hospital 1387,City 87,PA,11387,County 37,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Above the national average,Below the national average
101388,Hospital 1388,City 88,NY,11388,County 38,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Same as the national average,Above the national average,Same as the national average
101389,Hospital 1389,City 89,NY,11389,County 39,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average
101390,Hospital 1390,City 90,MI,11390,County 40,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Below the national average,Not Available
101391,Hospital 1391,City 91,IL,11391,County 41,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Not Available,Same as the national average,Above the national average
101392,Hospital 1392,City 92,FL,11392,County 42,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Same as the national average,Below the national average,Below the national average
101393,Hospital 1393,City 93,NY,11393,County 43,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Above the national average,Same as the national average,Below the national average
101394,Hospital 1394,City 94,PA,11394,County 44,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Same as the national average,Same as the national average
101395,Hospital 1395,City 95,MI,11395,County 45,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Below the national average,Same as the national average,Not Available
101396,Hospital 1396,City 96,NY,11396,County 46,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Same as the national average,Above the national average
101397,Hospital 1397,City 97,TX,11397,County 47,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Same as the national average,Same as the national average
101398,Hospital 1398,City 98,FL,11398,County 48,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Below the national average,Same as the national average
101399,Hospital 1399,City 99,FL,11399,County 49,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Below the national average
101400,Hospital 1400,City 0,IL,11400,County 0,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Below the national average,Not Available,Above the national average
101401,Hospital 1401,City 1,PA,11401,County 1,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Same as the national average,Not Available,Not Available
101402,Hospital 1402,City 2,OH,11402,County 2,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Not Available,Above the national average,Not Available
101403,Hospital 1403,City 3,OH,11403,County 3,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Below the national average
101404,Hospital 1404,City 4,OH,11404,County 4,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Not Available,Below the national average,Not Available
101405,Hospital 1405,City 5,NC,11405,County 5,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Below the national average,Same as the national average,Not Available
101406,Hospital 1406,City 6,FL,11406,County 6,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Above the national average,Below the national average
101407,Hospital 1407,City 7,GA,11407,County 7,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Not Available,Below the national average,Not Available
101408,Hospital 1408,City 8,GA,11408,County 8,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Above the national average,Not Available,Above the national average
101409,Hospital 1409,City 9,CA,11409,County 9,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Same as the national average,Same as the national average,Not Available
101410,Hospital 1410,City 10,IL,11410,County 10,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Not Available,Below the national average,Above the national average
101411,Hospital 1411,City 11,OH,11411,County 11,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Same as the national average,Not Available,Above the national average
101412,Hospital 1412,City 12,PA,11412,County 12,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Not Available,Same as the national average
101413,Hospital 1413,City 13,IL,11413,County 13,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average
101414,Hospital 1414,City 14,CA,11414,County 14,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Above the national average,Same as the national average,Not Available
101415,Hospital 1415,City 15,TX,11415,County 15,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Below the national average,Not Available,Below the national average
101416,Hospital 1416,City 16,OH,11416,County 16,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Below the national average,Same as the national average,Below the national average
101417,Hospital 1417,City 17,FL,11417,County 17,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Above the national average,Same as the national average,Not Available
101418,Hospital 1418,City 18,NY,11418,County 18,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Not Available,Not Available,Below the national average
101419,Hospital 1419,City 19,OH,11419,County 19,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Same as the national average,Same as the national average
101420,Hospital 1420,City 20,FL,11420,County 20,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Above the national average,Not Available,Same as the national average
101421,Hospital 1421,City 21,TX,11421,County 21,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Same as the national average,Below the national average
101422,Hospital 1422,City 22,OH,11422,County 22,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Above the national average,Same as the national average,Above the national average
101423,Hospital 1423,City 23,IL,11423,County 23,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Below the national average,Above the national average
101424,Hospital 1424,City 24,PA,11424,County 24,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Not Available,Not Available
101425,Hospital 1425,City 25,CA,11425,County 25,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Below the national average,Above the national average,Above the national average
101426,Hospital 1426,City 26,CA,11426,County 26,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Not Available,Below the national average
101427,Hospital 1427,City 27,GA,11427,County 27,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Not Available,Below the national average,Below the national average
101428,Hospital 1428,City 28,PA,11428,County 28,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Below the national average,Not Available,Not Available
101429,Hospital 1429,City 29,MI,11429,County 29,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Above the national average
101430,Hospital 1430,City 30,GA,11430,County 30,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Above the national average,Above the national average,Below the national average
101431,Hospital 1431,City 31,FL,11431,County 31,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Not Available,Not Available,Same as the national average
101432,Hospital 1432,City 32,NY,11432,County 32,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Below the national average,Above the national average,Below the national average
101433,Hospital 1433,City 33,GA,11433,County 33,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Not Available,Not Available,Above the national average
101434,Hospital 1434,City 34,PA,11434,County 34,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Above the national average,Not Available,Below the national average
101435,Hospital 1435,City 35,MI,11435,County 35,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Same as the national average,Not Available
101436,Hospital 1436,City 36,CA,11436,County 36,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Not Available,Same as the national average,Not Available
101437,Hospital 1437,City 37,CA,11437,County 37,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Same as the national average,Same as the national average,Same as the national average
101438,Hospital 1438,City 38,TX,11438,County 38,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Not Available,Above the national average,Same as the national average
101439,Hospital 1439,City 39,PA,11439,County 39,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Same as the national average,Below the national average,Not Available
101440,Hospital 1440,City 40,CA,11440,County 40,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Not Available,Above the national average,Below the national average
101441,Hospital 1441,City 41,FL,11441,County 41,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Not Available,Not Available
101442,Hospital 1442,City 42,FL,11442,County 42,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Above the national average
101443,Hospital 1443,City 43,CA,11443,County 43,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average
101444,Hospital 1444,City 44,TX,11444,County 44,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Above the national average,Below the national average,Above the national average
101445,Hospital 1445,City 45,MI,11445,County 45,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Below the national average,Below the national average
101446,Hospital 1446,City 46,TX,11446,County 46,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Not Available,Above the national average,Not Available
101447,Hospital 1447,City 47,PA,11447,County 47,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Not Available
101448,Hospital 1448,City 48,TX,11448,County 48,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Above the national average,Below the national average,Below the national average
101449,Hospital 1449,City 49,NC,11449,County 49,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Same as the national average,Not Available
101450,Hospital 1450,City 50,IL,11450,County 0,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Below the national average,Same as the national average,Same as the national average
101451,Hospital 1451,City 51,FL,11451,County 1,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Not Available,Not Available,Below the national average
101452,Hospital 1452,City 52,TX,11452,County 2,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Not Available,Below the national average,Not Available
101453,Hospital 1453,City 53,GA,11453,County 3,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Not Available,Above the national average,Below the national average
101454,Hospital 1454,City 54,IL,11454,County 4,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Not Available,Above the national average,Same as the national average
101455,Hospital 1455,City 55,PA,11455,County 5,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Same as the national average,Same as the national average
101456,Hospital 1456,City 56,GA,11456,County 6,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Same as the national average,Same as the national average,Same as the national average
101457,Hospital 1457,City 57,FL,11457,County 7,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Same as the national average,Not Available
101458,Hospital 1458,City 58,OH,11458,County 8,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Above the national average,Below the national average,Not Available
101459,Hospital 1459,City 59,TX,11459,County 9,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Below the national average,Not Available,Same as the national average
101460,Hospital 1460,City 60,OH,11460,County 10,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Above the national average,Same as the national average,Not Available
101461,Hospital 1461,City 61,GA,11461,County 11,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Same as the national average,Not Available,Above the national average
101462,Hospital 1462,City 62,GA,11462,County 12,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Not Available,Below the national average,Above the national average
101463,Hospital 1463,City 63,CA,11463,County 13,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Above the national average,Not Available,Same as the national average
101464,Hospital 1464,City 64,NY,11464,County 14,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Above the national average,Same as the national average,Not Available
101465,Hospital 1465,City 65,GA,11465,County 15,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Same as the national average,Above the national average,Below the national average
101466,Hospital 1466,City 66,CA,11466,County 16,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Not Available,Not Available
101467,Hospital 1467,City 67,CA,11467,County 17,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Same as the national average,Same as the national average
101468,Hospital 1468,City 68,NY,11468,County 18,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Above the national average,Above the national average,Same as the national average
101469,Hospital 1469,City 69,MI,11469,County 19,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Below the national average,Above the national average
101470,Hospital 1470,City 70,CA,11470,County 20,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Below the national average,Below the national average,Same as the national average
101471,Hospital 1471,City 71,OH,11471,County 21,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Above the national average,Below the national average
101472,Hospital 1472,City 72,NC,11472,County 22,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Not Available,Below the national average,Below the national average
101473,Hospital 1473,City 73,MI,11473,County 23,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Above the national average,Same as the national average,Above the national average
101474,Hospital 1474,City 74,FL,11474,County 24,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average
101475,Hospital 1475,City 75,MI,11475,County 25,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Same as the national average,Not Available,Above the national average
101476,Hospital 1476,City 76,NC,11476,County 26,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Not Available,Same as the national average,Not Available
101477,Hospital 1477,City 77,GA,11477,County 27,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Same as the national average,Same as the national average
101478,Hospital 1478,City 78,CA,11478,County 28,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Below the national average,Same as the national average,Not Available
101479,Hospital 1479,City 79,TX,11479,County 29,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Not Available,Above the national average,Same as the national average
101480,Hospital 1480,City 80,CA,11480,County 30,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Above the national average,Not Available,Above the national average
101481,Hospital 1481,City 81,PA,11481,County 31,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Below the national average,Same as the national average
101482,Hospital 1482,City 82,FL,11482,County 32,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Above the national average,Not Available,Same as the national average
101483,Hospital 1483,City 83,OH,11483,County 33,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Below the national average,Not Available
101484,Hospital 1484,City 84,CA,11484,County 34,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Below the national average,Below the national average,Above the national average
101485,Hospital 1485,City 85,NY,11485,County 35,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Same as the national average,Below the national average
101486,Hospital 1486,City 86,NC,11486,County 36,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Same as the national average,Below the national average,Above the national average
101487,Hospital 1487,City 87,NC,11487,County 37,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Not Available,Below the national average
101488,Hospital 1488,City 88,NY,11488,County 38,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Not Available,Not Available,Same as the national average
101489,Hospital 1489,City 89,GA,11489,County 39,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Below the national average,Below the national average,Not Available
101490,Hospital 1490,City 90,NC,11490,County 40,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Not Available
101491,Hospital 1491,City 91,PA,11491,County 41,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Above the national average,Same as the national average,Above the national average
101492,Hospital 1492,City 92,TX,11492,County 42,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Below the national average,Not Available,Above the national average
101493,Hospital 1493,City 93,OH,11493,County 43,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Above the national average,Not Available
101494,Hospital 1494,City 94,NY,11494,County 44,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Not Available,Below the national average,Same as the national average
101495,Hospital 1495,City 95,NC,11495,County 45,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Not Available,Same as the national average,Same as the national average
101496,Hospital 1496,City 96,TX,11496,County 46,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average
101497,Hospital 1497,City 97,OH,11497,County 47,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Same as the national average,Below the national average,Above the national average
101498,Hospital 1498,City 98,PA,11498,County 48,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Below the national average,Below the national average
101499,Hospital 1499,City 99,GA,11499,County 49,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Same as the national average,Above the national average,Not Available
101500,Hospital 1500,City 0,FL,11500,County 0,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Above the national average,Not Available,Not Available
101501,Hospital 1501,City 1,NY,11501,County 1,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Not Available,Below the national average,Below the national average
101502,Hospital 1502,City 2,PA,11502,County 2,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Below the national average,Same as the national average,Not Available
101503,Hospital 1503,City 3,PA,11503,County 3,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Not Available,Not Available,Same as the national average
101504,Hospital 1504,City 4,CA,11504,County 4,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Not Available,Above the national average
101505,Hospital 1505,City 5,TX,11505,County 5,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Not Available,Not Available,Below the national average
101506,Hospital 1506,City 6,IL,11506,County 6,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Same as the national average,Below the national average,Above the national average
101507,Hospital 1507,City 7,GA,11507,County 7,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Same as the national average,Below the national average,Not Available
101508,Hospital 1508,City 8,NY,11508,County 8,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Above the national average,Same as the national average,Below the national average
101509,Hospital 1509,City 9,NY,11509,County 9,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Below the national average,Above the national average
101510,Hospital 1510,City 10,TX,11510,County 10,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Below the national average,Above the national average,Not Available
101511,Hospital 1511,City 11,GA,11511,County 11,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Below the national average,Not Available,Not Available
101512,Hospital 1512,City 12,TX,11512,County 12,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Above the national average,Same as the national average,Same as the national average
101513,Hospital 1513,City 13,PA,11513,County 13,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Below the national average,Not Available
101514,Hospital 1514,City 14,MI,11514,County 14,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Below the national average,Below the national average
101515,Hospital 1515,City 15,GA,11515,County 15,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Same as the national average
101516,Hospital 1516,City 16,FL,11516,County 16,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Below the national average,Same as the national average,Not Available
101517,Hospital 1517,City 17,FL,11517,County 17,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Same as the national average,Same as the national average,Same as the national average
101518,Hospital 1518,City 18,FL,11518,County 18,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Not Available,Above the national average,Below the national average
101519,Hospital 1519,City 19,FL,11519,County 19,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Same as the national average,Above the national average
101520,Hospital 1520,City 20,NY,11520,County 20,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Below the national average,Same as the national average,Same as the national average
101521,Hospital 1521,City 21,PA,11521,County 21,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Above the national average,Not Available,Above the national average
101522,Hospital 1522,City 22,IL,11522,County 22,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Below the national average,Below the national average
101523,Hospital 1523,City 23,OH,11523,County 23,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Same as the national average,Above the national average
101524,Hospital 1524,City 24,NY,11524,County 24,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Not Available
101525,Hospital 1525,City 25,IL,11525,County 25,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Not Available
101526,Hospital 1526,City 26,PA,11526,County 26,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Above the national average,Above the national average,Above the national average
101527,Hospital 1527,City 27,NC,11527,County 27,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Below the national average,Below the national average
101528,Hospital 1528,City 28,FL,11528,County 28,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Not Available,Above the national average,Above the national average
101529,Hospital 1529,City 29,TX,11529,County 29,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Same as the national average,Not Available
101530,Hospital 1530,City 30,CA,11530,County 30,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Below the national average,Below the national average,Not Available
101531,Hospital 1531,City 31,FL,11531,County 31,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Same as the national average,Not Available
101532,Hospital 1532,City 32,NC,11532,County 32,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Below the national average,Below the national average,Not Available
101533,Hospital 1533,City 33,CA,11533,County 33,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Not Available,Not Available,Above the national average
101534,Hospital 1534,City 34,TX,11534,County 34,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Below the national average,Above the national average,Above the national average
101535,Hospital 1535,City 35,FL,11535,County 35,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Above the national average,Same as the national average,Not Available
101536,Hospital 1536,City 36,NC,11536,County 36,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Not Available,Not Available,Below the national average
101537,Hospital 1537,City 37,FL,11537,County 37,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Same as the national average,Above the national average
101538,Hospital 1538,City 38,NC,11538,County 38,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Below the national average,Below the national average,Same as the national average
101539,Hospital 1539,City 39,IL,11539,County 39,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Above the national average,Same as the national average,Same as the national average
101540,Hospital 1540,City 40,NY,11540,County 40,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Same as the national average,Below the national average
101541,Hospital 1541,City 41,TX,11541,County 41,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Same as the national average,Same as the national average,Above the national average
101542,Hospital 1542,City 42,NY,11542,County 42,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Below the national average,Below the national average,Above the national average
101543,Hospital 1543,City 43,NC,11543,County 43,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Not Available,Below the national average,Below the national average
101544,Hospital 1544,City 44,NY,11544,County 44,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Same as the national average
101545,Hospital 1545,City 45,IL,11545,County 45,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Not Available,Below the national average
101546,Hospital 1546,City 46,MI,11546,County 46,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Below the national average
101547,Hospital 1547,City 47,FL,11547,County 47,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Not Available,Same as the national average,Not Available
101548,Hospital 1548,City 48,PA,11548,County 48,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Not Available,Same as the national average
101549,Hospital 1549,City 49,GA,11549,County 49,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Not Available,Same as the national average
101550,Hospital 1550,City 50,IL,11550,County 0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Not Available
101551,Hospital 1551,City 51,MI,11551,County 1,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Above the national average,Not Available
101552,Hospital 1552,City 52,FL,11552,County 2,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Above the national average,Same as the national average,Above the national average
101553,Hospital 1553,City 53,MI,11553,County 3,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Above the national average,Above the national average
101554,Hospital 1554,City 54,NY,11554,County 4,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Below the national average
101555,Hospital 1555,City 55,TX,11555,County 5,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Above the national average,Below the national average,Above the national average
101556,Hospital 1556,City 56,FL,11556,County 6,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Same as the national average,Below the national average
101557,Hospital 1557,City 57,PA,11557,County 7,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Same as the national average,Above the national average,Below the national average
101558,Hospital 1558,City 58,NC,11558,County 8,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Above the national average,Above the national average,Below the national average
101559,Hospital 1559,City 59,CA,11559,County 9,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Above the national average,Same as the national average,Above the national average
101560,Hospital 1560,City 60,FL,11560,County 10,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Same as the national average,Below the national average,Below the national average
101561,Hospital 1561,City 61,FL,11561,County 11,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Not Available,Same as the national average,Above the national average
101562,Hospital 1562,City 62,FL,11562,County 12,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Below the national average
101563,Hospital 1563,City 63,CA,11563,County 13,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Above the national average,Same as the national average,Same as the national average
101564,Hospital 1564,City 64,OH,11564,County 14,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Same as the national average,Not Available,Same as the national average
101565,Hospital 1565,City 65,IL,11565,County 15,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Above the national average,Below the national average,Not Available
101566,Hospital 1566,City 66,PA,11566,County 16,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Above the national average,Same as the national average,Same as the national average
101567,Hospital 1567,City 67,PA,11567,County 17,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Above the national average
101568,Hospital 1568,City 68,CA,11568,County 18,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Same as the national average,Above the national average,Below the national average
101569,Hospital 1569,City 69,TX,11569,County 19,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Below the national average,Below the national average,Not Available
101570,Hospital 1570,City 70,OH,11570,County 20,Acute Care Hospitals,Voluntary non-profit - Private,No,4,Below the national average,Same as the national average,Same as the national average
101571,Hospital 1571,City 71,OH,11571,County 21,Acute Care Hospitals,Voluntary non-profit - Private,No,5,Not Available,Not Available,Same as the national average
101572,Hospital 1572,City 72,OH,11572,County 22,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Not Available,Same as the national average,Above the national average
101573,Hospital 1573,City 73,FL,11573,County 23,Acute Care Hospitals,Voluntary non-profit - Private,No,1,Same as the national average,Above the national average,Below the national average
101574,Hospital 1574,City 74,NC,11574,County 24,Acute Care Hospitals,Voluntary non-profit - Private,No,2,Above the national average,Above the national average,Below the national average
101575,Hospital 1575,City 75,PA,11575,County 25,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Same as the national average,Not Available
101576,Hospital 1576,City 76,FL,11576,County 26,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Same as the national average,Above the national average
